Recorded Date,"Please respond to the following statement:
Determining whether a review was positive or negative was difficult.",Why?,Please briefly describe your process for determining whether a review was positive or negative.,What parts of the review did you focus on in determining whether a review was positive or negative?,"What, if anything, could have been more clear about the instructions you were given for labeling movie reviews as positive or negative?","Please respond to the following statement:
 Selecting the words or phrases I considered important was difficult.",Why?,Please briefly describe your process for selecting the words or phrases you considered important.,What characteristics of a word or phrase made you select a particular word or phrase as important?,"Think about a case where you considered selecting a particular word or phrase as important, but chose not to do so.
Please describe this situation, as well as why you ultimately chose not to select those words/phrases as important.","What, if anything, could have been more clear about the instructions you were given for selecting words or phrases as important?",Please briefly describe the order in which you selected the words or phrases you considered important.,"Please respond to the following statement:When selecting words or phrases that I considered important, I selected only words or phrases that, if they appeared in other reviews, would also suggest the same positive/negative sentiment.",Why?,"What could have been improved about the user interfaces for any parts of today's task (other than the surveys)? If you encountered any issues or errors, please include them here.",What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,Please specify your ethnicity (select all that apply). - Selected Choice - Asian,Please specify your ethnicity (select all that apply). - Selected Choice - Black or African American,Please specify your ethnicity (select all that apply). - Selected Choice - Hispanic or Latine,Please specify your ethnicity (select all that apply). - Selected Choice - Native American or Alaskan Native,Please specify your ethnicity (select all that apply). - Selected Choice - Native Hawaiian or Other Pacific Islander,Please specify your ethnicity (select all that apply). - Selected Choice - White or Caucasian,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer to self-describe,Please specify your ethnicity (select all that apply). - Selected Choice - Prefer not to say,Please specify your ethnicity (select all that apply). - Prefer to self-describe - Text,What is the highest degree or level of education you have completed? - Selected Choice,What is the highest degree or level of education you have completed? - Prefer to self-describe - Text,"Do you, or have you, held a degree or job related to computer science, IT, or similar?",Do you consider yourself to have expertise in machine learning?,Are you a native speaker of the English language?,(Optional) Is there anything else you'd like to tell us before submitting the survey?,userId,Q39 - I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),What is the correct order of tasks you will follow?,,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Clicking on individual words.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Dragging over words/phrases.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Highlighting words with arrow keys.,What are the ways that you can select words that suggests if a review is positive or negative? (Select all that apply) - Tapping the words if your computer is touchscreen.,instructions
2021-09-01 15:07:11,Strongly disagree,I had an easy time determining whether the majority of the reviews were positive or negative. There was only one review that I was a bit uncertain about.,"I read the entire review, however, most reviews were short and the first sentence indicated the reviewer's general sentiment.",The beginnings and ends of the reviews were the most helpful in determining whether a review was positive or negative. The beginning usually indicated the direction that the review was headed toward and the end often ended with a recommendation for or against watching the film.,Nothing - the instructions were very clear.,Disagree,It was easy to indicate whether words were positive or negative. Classifying the terms in light of the context they were used in was slightly more difficult.,I selected words/phrases used to describe the film based on whether they were negative or positive. ,I considered the context in which words were being used and the overall sentiment of the words/phrases.,I tried to not choose duplicate terms and instead focus on the strongest use of a word/phrase within each review.,Nothing.,"I selected the words/phrases as I reread them in the review, from the beginning of the review through the end.",Strongly agree,I tried to focus on words and phrases that would convey a similar meaning when used in other contexts since the purpose of the study was to inform machine learning algorithms. ,The only thing I can think of would be to use green for highlighting positive words or phrases and red for negative.,25 - 34,Woman,,,,,,,White or Caucasian,,,,Master's degree,,No,No,Yes,"I would not say that I have ""expertise"" in machine learning, but I do have some experience (several years ago using LDA).",25158,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,16
2021-09-01 15:07:20,Somewhat agree,some of the reviews didnt go into much detail about about how they enjoyed or didnt enjoy the movie but just about what happens in the movie,i looked for positive or negative words used in the review,i focused on parts of the review where they gave their opinion on how they liked or didnt like the movie,i thought the instructions were clear to follow and understand,Somewhat disagree,i focused on the negative or positive words used in the review so felt quite confident that these words would be important in determing if the review itself was positive or negative,my attention was words or phrases which i felt were positive or negative that would give the overall opinion of the review,if the word was either negative or postive,i chose a few words but later deselected them because i felt that they would not have the same effect if put in another review,i thought the instructions were clear to follow,i started with the words or phrases which were easier to determine if they were positive or negative,Strongly agree,these were my instructions on what to do at the start of the task,i cant think of any improvements that could be made and i didnt encounter any errors or issues,35 - 44,Man,,,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,,67107,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,12
2021-09-01 15:07:51,Disagree,words clearly state how someone feels most of the time,"based on words like hate, terrible love etc",feeling words,all very clear,Disagree,meaning and feeling words are powerful,you can tell joy or sadness through words,feeling words,wasnt any ,all clear,no order a ssuch just looked for feeling and meaningful words,Disagree,i had no order just used the words that were important to me,all good,45 - 54,Woman,,,,,,,White or Caucasian,,,,"Some High School, no diploma",,No,No,Yes,,39070,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,16
2021-09-01 15:09:57,Disagree,"The majority of them were very clear in their dislike and even hate for the movies, I think there was only 1 maybe I wasn't sure about.",I just read what was said about their experience watching the movie and the choice of words they used to describe it?,"All of it, but if I have to be specific then whether the words were negative or positive and in which context they were being used?",Only if I should have focused more on key words because I felt like I used a lot more phrases and longer sentences and that might confuse an AI but I think sometimes individual words could be taken out of context and even if they are positive or negative they need the whole phrase or sentence and context to be judged correctly and an AI might misunderstand that.,Somewhat disagree,"Only because I felt like I was selecting too many things as important but I was asked to do that, I didn't want to mark too much and I felt like I used more phrases than individual words but I felt like it needed more context than just words alone.",I tried to focus on things that made it perfectly clear how the reviewer felt and usually full sentences did that bettter than just words alone.,Whether it was positive or negative and then also probably how emotionally strong the words or phrases were.,"They were usually just single words that I chose not to, I felt like I wanted to always mark more and complete sentences or phrases to give more context than just words alone.","Only if one was more important than the other, to me I felt like phrases were more important because I found it difficult to just select a word alone without wanting to include that word also in a phrase or the full sentence to help give more context and make the intention clear. Individual words alone can't tell the full story.","I started at the beginning, I included everything that I felt and considered was important, I didn't want to go back and undo things I had marked just because others were more important but I did skip some I didn't think were as important.",Disagree,"No because words alone can be used to mean different things, they were positive words used in negative reviews and negative words used in positive reviews and seem with phrases if they were out of context and maybe talking about other film within the same review.","Sometimes the dragging to select didn't work correctly, it took quite a few attempts to do most of them and that was the only thing I had an issue with.",35 - 44,Man,,Asian,,,,,White or Caucasian,,,,High School or equivalent,,No,No,Yes,No.,10073,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,11
2021-09-01 15:13:56,Agree,"Some reviews were trying to be neutral and unbiased, therefore it was harder to pick up if they were positive or negative.","I read the review, then did my best to identify words and phrases describing how he or she felt about the movie.","I looked for words or statements that described how the viewer felt: euphemisms, tongue-in-cheek phrases, superlatives, and tone of the review.","Perhaps a suggestion about feeling the tone of the review would help, especially with those ones that avoided using superlatives or personal feelings.",Agree,"Because what I consider important is subjective, and might not hold the same weight for someone else.","I tried to focus on the tone the reviewer added to their comment, and chose the words that best reflected his or her feelings about the film.","Emotions, euphemisms, superlatives, anything that indicated a positive or negative reception.","There was a phrase that seemed important to show the negative feel of the review, but I chose not to select it because it was not that expressive in the end compared to others.",Perhaps make clear the level of depth the words or phrases need to be to be considered important.,"I selected the words as I was reading the review, so it was a descending order.",Neither agree nor disagree,I selected the words and phrases the reviewer seemed to make most emphasis in to convey his or her feelings about the film.,Make the text lines not so long. The reviews were was hard to read because the lines were too long; I had to zoom my screen out to be able to read without straining.,35 - 44,Woman,,,,Hispanic or Latine,,,,,,,Associate's degree,,No,No,No,"I think I didn't do a good job selecting phrases on the very first review, but I did my best on the rest of the reviews.",55474,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,14
2021-09-01 15:20:47,Disagree,It was pretty easy to tell since most reviewers explicitly mentioned their like or dislike for the movies.,I tried to look at the first few or last few lines for explicit mentions of their likes/dislikes. The body described the details of what they did or did not like.,I could tell from mainly the first few and the last few lines. ,nothing,Somewhat agree,Some reviews talked about the directors/actors and their history in film making instead of the reviewers feelings towards the movie so those ones were hard.,Positive words/phrases meant positive reviews.,adjectives. Some things were in all caps when the reviewers really did not like the movie.,"For the review that was more about the history of the filmmakers than the actual movie, I considered selecting some of the words describing the themes. But they weren't really about the reviewers feelings towards the movie and were instead about the themes in the movie.",they were clear.,I just went chronologically. I read through the review and selected words as I read them.,Agree,"Because the instructions said to do so. Before starting the survey, I thought that some movies might have names that would sound negative or positive but that wasn't really a problem.",nothing that I can think of.,18 - 24,Woman,,Asian,,,,,,,,,Bachelor's degree,,Yes,Yes,Yes,I did NLP in college and found this survey very interesting. I have done a similar project with sentiment analysis for tweets. Good luck!,75531,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,15
2021-09-01 15:21:44,Disagree,usually keywords were enough,looking out for strong positive or negative keywords or phrases,clear strong opinions,nothing,Somewhat disagree,mostly obvious,strong opinions ,the strength on the words,not as strong as other clear indicators,nothing,skim for strong opinions and backtrack for less obvious ones,Agree,saying something it terrible is applicable to everything,not sure,25 - 34,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,45706,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,16
2021-09-01 15:22:24,Somewhat disagree,It was mostly pretty easy to tell if someone was thumbs-up or thumbs-down on the movie. A couple of the shorter ones and the long one about the scorcese documentary were a little trickier.,"Check the tone, see if they offer an up-or-down recommendation.","The beginning and end are where people tend to offer a summation of their opinion, though of course I read the whole thing.",The instructions were fine.,Somewhat disagree,It was mostly easy enough to pick out words that conveyed a lot of positivity or negativity.,Just looking for ones that could convey the tone I was trying to prove for that section.,"descriptive, could be taken as a recommendation for or against the movie","Honestly, I wound up picking most of the ones that I considered.","How much of the context we should consider them in, ie if a sentence was ""this movie is not great"" could you cherrypick ""great"" to argue that it could be positive",I mostly started at the beginning of the review and worked my way down.,Somewhat agree,"When you pick words and phrases you're already removing them from their original context, so you want them to be able to stand up on their own.","The interface worked fine, I was a little worried the first time I click-and-dragged across multiple lines but it didn't cause any problems.",25 - 34,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,Yes,No,Yes,,36469,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,14
2021-09-01 15:22:44,Disagree,Many of them used strong wording to voice their opinions.,Based on the emotional words used.,"Parts that described the viewer's experience, not the movie's plot.",n/a,Somewhat agree,Sometimes words could have different meanings.,"I tried to stick to the general use of the word, as if an algorithm saw it.",if it had positive/negative connotations.,"If I had already selected the word earlier, and it had appeared again later in the text.",n/a,"I went through the review, selecting as I went along.",Somewhat agree,"I was trying to imitate an algorithm, which is what it would do.",n/a,25 - 34,Woman,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,,12375,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,15
2021-09-01 15:23:49,Somewhat disagree,Most of the reviews used language that obviously conveyed whether it was a positive or negative review.,I looked at what the sentences (not just words on their own) were saying.  For most of the reviews it was clear.,The whole review but especially the beginning and end.,I can't think of anything.,Somewhat disagree,Most of the reviews used strong language so it was easy to choose.,I first decided whether the review was positive or negative then looked for words that matched the result.,The meaning of the word.,They weren't actually positive or negative words when used out of context.,I can't think of anything.,I read through the review and selected words as I saw them.,Agree,Because that was what the instructions said to do.,Can't think of anything.  No errors.,35 - 44,Woman,,,,,,,White or Caucasian,,,,"Professional degree (JD, MD)",,No,No,Yes,No.,53945,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,15
2021-09-01 15:24:04,Agree,sometimes the reviews were rambling incoherently,read through the review and determined if they recommended the movie or not,how they described their experience watching the movie,give some middle ground since some of the reviews were really rambling and some were pretentious as all hell.,Somewhat agree,some reviews were difficult to gauge in an overall sense how the reviewer really felt about the movie.,i looked for positive or negative words...,how positive or negative they were in describing the experience or performances.,some of the words used were very ambiguous so it was hard to determine without much context.,maybe give some examples of what to look out for.,i ordered them based on severity of description,Neither agree nor disagree,"context is important, need to try to determine how the author felt on their own.",have better reviews? many of them were too incoherent,25 - 34,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,No,No,Yes,thanks,33270,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,16
2021-09-01 15:25:26,Somewhat agree,Occasionally a review will come across as being vague in it's overall conclusion with sometimes quite confusing or contradictory language.,Judging the overall tone of the review. Keywords associated with either positive or negative emotions or views. ,The overall tone of the review.,n/a,Somewhat agree,Vague language or context.,Paying attention to the context used of words/phrases,"As mentioned, context was important",Did not fit the context or too vague,n/a,I do not understand this question. I selected them in the order that I read them within each consecutive line.,Strongly agree,Those were the instructions given at the start.,n/a,35 - 44,Man,,,,,,,White or Caucasian,,,,Bachelor's degree,,Yes,No,Yes,,92710,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,15
2021-09-01 15:27:46,Strongly disagree,There was only one review that I was not sure of. The mood of the review is pretty easy to gauge within the first 2 sentences. The reviews usually start with the writer's stance on whether it was good or bad.,"I would read the entire review before making a determination. I would then figure out what the overall feel of the review was, negative or positive. ","I used the recommendations either to see or not to see the movie, and the degree of like or dislike of the person. I also relied on the length and details.","Nothing, it was clear.",Somewhat disagree,"Choosing the words or phrases that were of the same sentiment weren't very hard, but trying to find for the opposite sentiment was difficult on some reviews. Some reviews had almost nothing positive to say about the movie.","I tried to think about making the review shorter. I wanted to only select what would be most informative to someone reading the review who is thinking about seeing the movie, just the most important words or phrases to understand the reviewer's stance on the movie.","I chose descriptive words, or phrases that included recommendations.","There were some longer phrases that I considered choosing, but I ended up feeling as though it was too long of a phrase just to get the point across. If the phrase was shorter, I would have included it.","I didn't know what to do in case there were absolutely no words or phrases that would go for the opposite sentiment. Also, it was kind of unclear as to whether you wanted words or phrases that meant positive or negative, or words or phrases that meant the movie was positive or negative.",I started at the top and just chose whatever I thought was important as I went through to the bottom.,Somewhat agree,"I wanted to only chose words or phrases that were generally descriptive, not very specific. ",Some of the reviews were way too long.,25 - 34,Woman,,,,,,,White or Caucasian,,,,High School or equivalent,,No,I don’t know,Yes,,16288,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,16
2021-09-01 15:29:33,Disagree,"In 9 out of 10 of the reviews, it was evident what the opinion of the reviewer was simply because it was stated unequivocally. One of the reviews, however, was more subtle in its language and I had to re-read it to get an overall sense of the reviewers message.","I looked for positive and negative identifying words and phrases and in one case, used the overall tone of the review to determine whether it was positive or negative.","Again, I looked for positive and negative words and phrases, such as ""best"", ""brilliant"", ""awful"", and ""avoid"", but I also used the overall tone and context of the review to determine whether it was positive or negative.",Nothing. The instructions were perfectly clear to me.,Disagree,"In most cases, it was simple to pick out words and phrases that would unambiguously be deemed positive or negative, even when taken out of the context of the entire review.","As above, I tried to choose words and phrases that were unambiguously positive or negative even when read out of context. I tried to focus on just the root emotion of the word or phrase and leave out anything that may be read in another way if taken out of context.",Whether it had positive or negative connotations and would be understood that way even when taken out of context.,"In one case, I considered including a phrase about racism but decided against it because although racism is never acceptable, when taken out of context, it could just have been used to describe a plot feature which in and of itself is not necessarily a bad thing.",Nothing. I believe I understood the instructions fairly well.,I started at the beginning and read each sentence to see if there were any words or phrases that seemed relevant and unambiguous. I then moved to each successive sentence and repeated the same until I reached the end of the review.,Strongly agree,"Because, as I said, I tried to choose words and phrases that would be unambiguous even if taken out of context.",Nothing. No errors encountered.,45 - 54,Man,,,,,,,White or Caucasian,,,,Trade/technical/vocational training,,No,No,Yes,n/a,42521,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,13
2021-09-01 15:33:06,Somewhat disagree,It was pretty easy to read if it they liked or disliked the movie.,I asked myself if they enjoyed the film while reading their review.,Whether or not they enjoyed the film.,I think the instructions were very clear and easy to understand.,Disagree,it was easy to select words or phrases that had meaning to me.,I would ask myself what struck out the most while reading,Which words or phrases stuck with me or grabbed my attention the most.,If the word or phrase wasn't focused on the review being positive or negative.,The instructions were clear and easy to follow.,I would select words or phrases as I read the review from start to finish.,Somewhat disagree,I selected words or phrases that indicated whether the review of the film was positive or negative.,The user interface was very simple and easy to use.,35 - 44,Man,,,,,,,White or Caucasian,,,,"Some college credit, no degree",,Yes,No,Yes,,83629,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,14
2021-09-01 15:33:32,Disagree,It is simple to tell reviewer's emotion from reading reviews.,"From the first and last sentences, you can tell whether a review is positive or negative. ",the first and last sentences.,no,Somewhat disagree,"The important words align with reviewer's emotion, and normally repeat themselves several times. ","After determine if the review is positive or negative, I can quickly find important words though the review.",They frequently appear everywhere. ,"If it aligned with reviewer's attitude, I would choose it. ",no,"First, I determine if the article is positive or negative. Second, I read the article carefully to find the words support reviewer's emotion. ",Neither agree nor disagree,Other reviews may or may not support the author's opinion.,The survey took much longer than I expect.,35 - 44,Man,,Asian,,,,,,,,,Doctorate degree,,No,No,No,The survey took much longer than I expect.,62293,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,15
2021-09-01 15:39:54,Somewhat disagree,I found the reviews were mostly quite bold in expressing their opinion and it was easy to interpret as positive or negative. There was only a couple of reviews that were somewhat unclear in how the author felt about the quality of the film itself.,I tended to focus on statements which described the quality and characteristics of the film and look to see if they were positive or negative.,I would look for simple phrases where the author expresses outright opinions on the aspects of the film and the obvious statements such as 'this film stinks'.,"I would have liked a little bit more clarity in picking out the words and phrases for the opposite sentiment i.e. was it okay to pick out a positive word in a negative phrase, I did not feel clear about that.",Somewhat disagree,I felt that positive and negative words and phrases stood out from the text.,"I would pick out the superlatives in the description , I thought these were most important.",The relative strength of feeling expressed made me pick out some words nore than others.,I would sometimes not pick a phrase because it was lower in strength of feeling compared to others.,I found the instructions to be very clear on this point.,"I picked them in the order that I read them, from beginning to end.",Agree,I wanted to select the unambiguous phrases or words that it was very clear in their sentiment.,I found it to clear and it was easy to use. I experienced no glitches or bugs when carrying out the task.,45 - 54,Man,,,,,,,White or Caucasian,,,,Master's degree,,Yes,No,Yes,"I enjoyed participating, thanks.",91927,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),,"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is the sentiment you chose.
 Select words or phrases that suggest that the movie review is the opposite sentiment.
 Select confidence that you have in your selections.
",Clicking on individual words.,Dragging over words/phrases.,,,15
2021-09-01 15:40:16,Disagree,"For the most part, the reviews were straightforward. They either said that they liked the film or they didn't. There was only one instance where the review was more of a summary of a director's perspectives and life, which made it difficult to tell whether or not it was a positive review or not.","I mostly just read the review, honestly. It was easy to tell just through their sentences and words whether or not they liked a film. I did, however, spend time re-reading everything to make sure I didn't misunderstand sarcasm. For the most part, everything was straightforward.","I focused on big sentences that declared how good or bad the person regarding the film. Sentences like, 'This was the worst film ever!' helped in immediately determining that a review is negative. I also focused on other positive or negative individual words that made it clearer what type of review it was.","It was mostly clear. There was just the one review that mostly talked about the director --where it was a bit unclear whether or not the person found the ""movie"" positive or negative-- that made me wish there were more instructions about what to do in that particular situation. But for the most part, the instructions were fine.",Agree,"It was easy to spot positive and negative words and phrases to highlight. There were just a handful of times where I wasn't sure whether to include entire sentences or just separate phrases. Other times, I wasn't sure whether to just have the individual word or if I should include the surrounding phrase for better context. I just didn't want my highlights to seem overly bulky. There were some instances where just about every sentence could've been highlighted, but I wanted to reduce the amount of highlights to just get straight to the point. That was the only thing that was maybe a little tricky at times.","I would go through the entire review one sentence at a time and highlight words and phrases that I found positive or negative, depending on what I had selected on the previous screen. I would sometimes have to go back and undo things. Sometimes I would reduce the amount I highlighted in order to just highlight phrases instead of entire sentences. For the most part, I was just looking for keywords and key phrases that would stand out to a hypothetical person reading my highlights who wanted to read some quick main points.","In the case of positive reviews, I would select very upbeat or happy words and phrases. For negative reviews, I would select words and phrases that criticize or straight-up insult the film.","I remember wanting to select an entire sentence, but it seemed too bulky. It was in one of those reviews where just about every sentence seemed like it could've been highlighted. I didn't want to go overboard --and I also wasn't sure in that particular case whether or not to highlight the entire sentence or just the phrase-- so I went back and undid the highlight in favor of highlighting just individual phrases within the sentence to make it feel neater and more to-the-point.","The instructions were fine. It was mostly just my subjective desire to make the highlights more cleaner --to reduce bulk-- that slowed myself down. I guess some instructions that say I don't have to worry about being too precise would've helped, but it's not super necessary.","I just selected words and phrases as I went along with reading/re-reading the review. In order to understand the review correctly, I had to read from the beginning to the end.",Agree,"If there are blatantly obvious phrases like, ""Terrible film!"" then that would also imply the same sentiment if they appeared in other reviews. In other cases, I had to be careful to not highlights certain things. There may have been some cases where there was either sarcasm or words/phrases that were used in different contexts. I made sure not to highlight something like, 'The good news is, this terrible film is better than the 1997 version!"" The review is negative, so I only highlighted words and phrases that went along with the negative sentiment. I did only put ""Agree"" to the above question since focusing on ""other reviews"" wasn't my main objective. I was mostly focusing on a the reviews at hand, and I thought about highlighting important words and phrases that would help a hypothetical person looking at my highlights to determine whether or not they should watch the film.",The user interfaces were fine. No issues or errors.,25 - 34,Man,,Asian,,,,,,,,,Trade/technical/vocational training,,Yes,No,Yes,,27595,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,13
2021-09-01 15:42:54,Somewhat disagree,There was only one which was long and more of a art critic that was difficult,Reading and building a picture of the film being reviewed based on if the reviewer used words that indicated that they enjoyed or were unimpressed with the movie,Focused on how they worded the reviews and looked at the introduction and summing up wiith more attention than the plot details,Was happy with the instructions provided for me to perform this study,Somewhat disagree,Didn't find it difficult to select the words ,Decided if the review was postive or negative then re-read selecting the areas that made me make that decision,Critical words or praising words chosen,Disregarded negativity regarding the plot,No it was fine. Instructions were clear,Top of review to bottom,Neither agree nor disagree,Different people express their views in different ways,No issues. One of the reviews was uncomfortably long and worded in a difficult manner.,55 - 64,Man,,,,,,,,Prefer to self-describe,,White European,High School or equivalent,,Yes,I don’t know,Yes,This took far longer than originally specified on the reserve screen. Also not sure what 'Do you consider yourself to have expertise in machine learning' means?,47480,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,11
2021-09-01 15:44:50,Disagree,"In most cases, I was able to get a clear sense of the intent of the author. It seemed obvious from the language whether the review was positive or negative.",I would examine the language that was used and determine if the words / sentences were positive or negative.,I focussed on the opinions of the authors rather than the plot.,I felt that the instructions were clear.,Somewhat agree,At times it wasn't clear to me what the context of the positive / negative words were. I wasn't always sure what the author was referring to. ,I would use the words that clearly demonstrated a negative or positive meaning. I tried to avoid phrases that referred to the plot itself but only to the review of the plot.,The words would have to refer to the film and also convey a clear positive or negative meaning.,Sometimes the positive / negative words were focussed not on the movie but used in a general context. It wasn't clear to me whether the phrase was always relevant. ,I felt that the instructions were clear enough though perhaps some more emphasis that the words to select should focus on the review of the movie and not anything else.,I selected the words / phrases in the order that I came across them in the text.,Strongly agree,This was part of the instructions so that is what I tried to adhere to.,On occasions I had to drag a few times before the phrases were selected.,35 - 44,Man,,Asian,,,,,,,,,Bachelor's degree,,Yes,No,Yes,,62053,I give permission for the data collected in this study to be released (without any identifiers) as part of a research data set. (Optional),"
 Classify a movie review as positive or negative.
 Select words or phrases that suggest that the movie review is either positive or negative.
 Select confidence that you have in your selections.
",,Clicking on individual words.,Dragging over words/phrases.,,,12
